Key,Description,Standard,fr
SAY.cinna flowchart.584.Mary,,Enjoying yourself?,Tu t’amuses bien ?
SAY.cinna flowchart.587.Hazel,,I-  I'm sorry! I didn't mean to-,J... je suis désolée ! Je ne voulais pas…
SAY.cinna flowchart.588.,,"I stammer out an apology, but she brushes it aside with a loose wave of her hand.","Je balbutie des excuses, mais elle les balaye d'un geste de la main."
SAY.cinna flowchart.591.Mary,,"No, it's fine. I just wasn't expecting you to be so interested in the alchemical arts.",Ce n’est rien. Je ne m'attendais simplement pas à ce que tu t'intéresses autant à l’alchimie.
SAY.cinna flowchart.593.Mary,,"Tell you what, why don't I show you around properly sometime?","Tu sais quoi ? Et si je te faisais visiter, un de ces jours ?"
SAY.cinna flowchart.595.Hazel,,"Well, I... don't want to be a bother.","Eh bien, je… je ne veux pas vous déranger."
SAY.cinna flowchart.597.Mary,,"No, I'd be happy to do it. But, for now, I'd like to get some work done, if that's alright.","Ne t’inquiète pas, je serai ravie pas de le faire. Mais, pour l'instant, j'aimerais bien avancer un peu dans mon travail, si ça ne te dérange pas."
SAY.cinna flowchart.598.,,Mary strides across the room towards me. It's only now that I really notice how tall she is.,Mary traverse la pièce pour venir vers moi. Ce n'est qu'à ce moment-là que je me rends vraiment compte d’à quel point elle est grande.
SAY.cinna flowchart.600.Hazel,,I'm sorry. I should have asked for permission first.,Je suis désolée. J'aurais dû demander la permission avant.
SAY.cinna flowchart.602.Mary,,"Please, don't be. I don't mind.","Mais non, ne t'en fais pas. Ça ne me dérange pas."
SAY.cinna flowchart.721.,,She reaches out and pushes the cupboard door shut.,Elle tend la main et referme la porte du placard.
SAY.cinna flowchart.606.Mary,,"Now, do you need any help getting back to your room?",As-tu besoin d'aide pour retourner dans ta chambre ?
SAY.cinna flowchart.608.Hazel,,"No, I can manage on my own.","Non merci, je peux me débrouiller. "
SAY.cinna flowchart.611.Mary,,That's wonderful!,C’est merveilleux !
SAY.cinna flowchart.613.,,"I give her a hurried nod, and pace out of the room.","Je lui adresse un hochement de tête rapide, puis je sors de la pièce à grands pas."
SAY.cinna flowchart.614.,,"I move as carefully as I can, to make sure she doesn't see the small grey book I have held by my side.","Je me déplace aussi discrètement que possible, pour m'assurer qu'elle ne remarque pas le petit livre gris que je cache dans mon dos."
SAY.cinna flowchart.615.,,"For some reason, I just couldn't bring myself to let go of it.","Pour une raison que j'ignore, je n'arrivais tout simplement pas à m'en détacher."
SAY.cinna flowchart.625.,,The small grey book I took from Mary's cupboard turns out to be far more engrossing than I had expected.,Ce petit livre gris que j'ai pris dans le placard de Mary s'avère bien plus captivant que je ne l'aurais imaginé.
