Key,Description,Standard,fr
SAY.cinna flowchart.6.Mary,,That should be enough work for one day. Should we start heading home?,Ça devrait suffire pour aujourd'hui. On rentre à la maison ?
SAY.cinna flowchart.9.Hazel,,Sure.,Oui.
SAY.cinna flowchart.10.,,"The rest of the day passes in peaceful tranquility. I eat lunch with Mary, and then supper.","Le reste de la journée se déroule paisiblement. Je déjeune avec Mary, puis on prend le souper."
SAY.cinna flowchart.11.,,"We talk for a while, about the weather, about the forest, about the village.","Nous discutons un moment, du temps, de la forêt, du village."
SAY.cinna flowchart.12.,,"I end the day with a cup of bitter tea and a calm, restful sleep, unplagued by nightmares.","Je termine la journée par une tasse de thé amer et un sommeil paisible et réparateur, épargnée de cauchemars."
SAY.cinna flowchart.14.,,"For a moment, I feel at peace. But only for a moment.","L'espace d'un instant, je me sens apaisée. Mais seulement l'espace d'un instant."
CHARACTER.Mary,,Mary,Mary
CHARACTER.Hazel,,Hazel,Hazel
CHARACTER.Old Man,,Old Man,Vieil home
CHARACTER.Adrianne,,Adrianne,Adrianne
CHARACTER.???,,???,???
CHARACTER.Duke,,Duke,Duc
CHARACTER.Priest,,Priest,Prêtre
CHARACTER.Reginald,,Reginald,Reginald
