Key,Description,Standard
SAY.cinna flowchart.584.Mary,,Enjoying yourself?
SAY.cinna flowchart.587.Hazel,,I-  I'm sorry! I didn't mean to-
SAY.cinna flowchart.588.,,"I stammer out an apology, but she brushes it aside with a loose wave of her hand."
SAY.cinna flowchart.591.Mary,,"No, it's fine. I just wasn't expecting you to be so interested in the alchemical arts."
SAY.cinna flowchart.593.Mary,,"Tell you what, why don't I show you around properly sometime?"
SAY.cinna flowchart.595.Hazel,,"Well, I... don't want to be a bother."
SAY.cinna flowchart.597.Mary,,"No, I'd be happy to do it. But, for now, I'd like to get some work done, if that's alright."
SAY.cinna flowchart.598.,,Mary strides across the room towards me. It's only now that I really notice how tall she is.
SAY.cinna flowchart.600.Hazel,,I'm sorry. I should have asked for permission first.
SAY.cinna flowchart.602.Mary,,"Please, don't be. I don't mind."
SAY.cinna flowchart.721.,,She reaches out and pushes the cupboard door shut.
SAY.cinna flowchart.606.Mary,,"Now, do you need any help getting back to your room?"
SAY.cinna flowchart.608.Hazel,,"No, I can manage on my own."
SAY.cinna flowchart.611.Mary,,That's wonderful!
SAY.cinna flowchart.613.,,"I give her a hurried nod, and pace out of the room."
SAY.cinna flowchart.614.,,"I move as carefully as I can, to make sure she doesn't see the small grey book I have held by my side."
SAY.cinna flowchart.615.,,"For some reason, I just couldn't bring myself to let go of it."
SAY.cinna flowchart.625.,,The small grey book I took from Mary's cupboard turns out to be far more engrossing than I had expected.
SAY.cinna flowchart.626.,,I stay up reading through it until the sky outside starts getting dark.
SAY.cinna flowchart.627.,,"According to the signature on the first page, this book is a collection of Mary's own notes."
SAY.cinna flowchart.628.,,"A lot of it is completely indecipherable to me — notes written in shorthand or in code, elaborate recipes with no mention as to what they create."
SAY.cinna flowchart.629.,,"All the same, I find myself eagerly flicking through detailed diagrams of flowers, and descriptions of strange and fascinating ingredients."
SAY.cinna flowchart.630.,,"Several of the passages are written in diary format, and one section that catches my attention in particular begins about halfway through the notebook."
SAY.cinna flowchart.631.Notebook,,"As Marquis Elerra once wrote, ""despite the seemingly endless advance of alchemical principles, a strong heart invariably trumps best practices."""
SAY.cinna flowchart.633.Notebook,,It is something I have observed several times during my work as a doctor.
SAY.cinna flowchart.634.Notebook,,"Patients who strongly wish to recover, and have a clear picture of what recovery will look like for them, will often recover twice as fast as those who don't."
SAY.cinna flowchart.635.Notebook,,I have even seen people slip from this mortal coil with no cause other than emotional fatigue. The heart has power over the body's shell.
SAY.cinna flowchart.637.Notebook,,"All potions and rituals that I have discovered have a specific, targeted effect, usually based on the properties of the ingredients."
SAY.cinna flowchart.638.Notebook,,What if I were to develop a concoction that could properly harness the potential of the mind's power over the body?
SAY.cinna flowchart.639.Notebook,,That could allow someone to reshape their form as they wished?
SAY.cinna flowchart.640.Notebook,,It would be akin to the discovery of an organic philosopher's stone!
SAY.cinna flowchart.641.Notebook,,"It sounds absurd, I know. But I stand at the precipice of centuries of discovery in the alchemical arts!"
SAY.cinna flowchart.643.Notebook,,The sages in their gleaming towers have made their voices clear - biological alchemy is the realm of madmen.
SAY.cinna flowchart.644.Notebook,,"The practice is meant for ""transmutation"" and ""industry"", and nothing more."
SAY.cinna flowchart.645.Notebook,,But they have no eyes on the ground. What they don't know won't hurt them.
SAY.cinna flowchart.647.,,"I turn the page, and see what looks like a recipe, a dozen ingredients measured to exact amounts."
SAY.cinna flowchart.648.,,"Beneath them all, three words are written, in calm, forceful handwriting."
SAY.cinna flowchart.649.Notebook,,Result — Nausea. Failure.
SAY.cinna flowchart.651.,,"I turn the page again, and find another recipe, even longer, and another result."
SAY.cinna flowchart.652.Notebook,,Reddening of eyes. Failure.
SAY.cinna flowchart.653.,,"I flip through the notebook, past dozens of recipes, each more complicated than the last."
SAY.cinna flowchart.655.Notebook,,Heartburn. Failure.
SAY.cinna flowchart.657.Notebook,,Temporary Paralyis. Failure.
SAY.cinna flowchart.659.Notebook,,Mental Degradation. Failure.
SAY.cinna flowchart.661.Notebook,,Loss of eyesight. Failure.
SAY.cinna flowchart.663.Notebook,,Loss of motor control. Failure.
