Key,Description,Standard
SAY.cinna flowchart.1014.,,"Come morning, I am awoken by the sound of knocking, and by a familiar voice."
SAY.cinna flowchart.1016.Mary,,Hazel... can you open the door?
SAY.cinna flowchart.1017.,,"I get out of bed, unlatch the door, and open it."
SAY.cinna flowchart.1020.Mary,,Why did you lock the door? You never used to do that.
SAY.cinna flowchart.1022.Hazel,,Your eye...
SAY.cinna flowchart.1024.Mary,,"Oh, this?"
SAY.cinna flowchart.1025.,,"She taps the bandage a few times, like the thought of it worrying me had never even crossed her mind."
SAY.cinna flowchart.1027.Mary,,"I just had a bit of a nasty fall, that's all. It'll be healed up in a few days, I'm sure."
SAY.cinna flowchart.1029.Hazel,,Are you sure? It looks bad.
SAY.cinna flowchart.1031.Mary,,"I told you, it's fine. More importantly..."
SAY.cinna flowchart.1033.Mary,,I need something from you.
SAY.cinna flowchart.1035.Hazel,,What is it?
SAY.cinna flowchart.1037.Mary,,I need your blood.
SAY.cinna flowchart.1038.,,"I laugh, and I expect her to laugh along with me. She doesn't. The look in her eyes is serious — no, more than that."
SAY.cinna flowchart.1039.,,"I only now realise just how disturbed she looks. Her only unharmed eye has gone wide, its pupil a tiny black dot in a sea of white.{wc}Her arms are shaking slightly, her hands curling and uncurling. Her eye keeps darting around the room.{wc}She looks nothing like she did yesterday."
SAY.cinna flowchart.1041.Hazel,,What's wrong?
SAY.cinna flowchart.1043.Mary,,"No, no, no. I told you, nothing's wrong!"
SAY.cinna flowchart.1045.,,"She slams her fist into the wall, and the wood buckles from the impact."
SAY.cinna flowchart.1047.Mary,,"Hazel. If you love me, you'll do this for me."
SAY.cinna flowchart.1049.Hazel,,O-okay.
SAY.cinna flowchart.1051.Mary,,Great.
SAY.cinna flowchart.1052.,,"She opens her mouth wide to smile, and for the first time, I see how much she is salivating."
SAY.cinna flowchart.1054.,,"She grabs me by the shoulder and drags me over to the bed, throwing me against it.{wc}I whimper in pain as my body hits the mattress, but I don't dare move."
SAY.cinna flowchart.1056.,,"So I lie there, completely still, as she crawls up onto the bed, kneeling over me."
SAY.cinna flowchart.1057.,,"She leans forwards until her face is only a few inches from mine, her arms and legs against the bed, standing all fours like some savage beast.{wc}She opens her mouth wide, revealing an impossibly sharp pair of canines, and I brace myself. Then she stops."
