Key,Description,Standard
SAY.cinna flowchart.6.,,"I take her hand, and feel her fingers grip mine with reassuring strength."
SAY.cinna flowchart.8.Hazel,,I forgive you.
SAY.cinna flowchart.116.,,"Mary pulls me into an embrace, tears streaming down her face."
SAY.cinna flowchart.12.Mary,,"Oh, thank you! You have no idea how much this means to me."
SAY.cinna flowchart.14.Hazel,,It's alright.
SAY.cinna flowchart.16.Hazel,,I never hated you. I was just so scared.
SAY.cinna flowchart.18.Mary,,"Oh, Hazel. I love you so much."
SAY.cinna flowchart.21.Hazel,,I—I love you too.
SAY.cinna flowchart.22.,,"She squeals in joy, and clutches me tighter, so tight that it hurts for a moment. I let out a yelp of pain, and she lets go."
SAY.cinna flowchart.25.Mary,,"Oh, I'm sorry. I need to be more careful with my strength."
SAY.cinna flowchart.28.Hazel,,Don't worry. I'm fine.
SAY.cinna flowchart.31.Mary,,So... I should prepare lunch. How does meat sound?
SAY.cinna flowchart.33.Hazel,,Um...
SAY.cinna flowchart.34.,,"My eyes drift over to the workroom door, and Mary laughs uproariously."
SAY.cinna flowchart.36.Mary,,"Oh, don't be silly!"
SAY.cinna flowchart.38.Mary,,I have some lamb left in the pantry. I'll go get it now.
SAY.cinna flowchart.40.Hazel,,That sounds great.
SAY.cinna flowchart.42.Mary,,Wonderful!
SAY.cinna flowchart.43.,,"She smiles at me, and in that moment, the whole world seems to shine."
SAY.cinna flowchart.44.,,I...
SAY.cinna flowchart.54.,,"My small world is, for now, blissfully dark and silent. The cold stone floor numbs my skin, but its touch is familiar and comforting.{wc}Then, I hear the door creak open above me, and footsteps echo down the rough stone stairs."
SAY.cinna flowchart.57.Mary,,"How are you doing, honey?"
SAY.cinna flowchart.58.,,"I let out a low, dull whine, but Mary just chuckles."
SAY.cinna flowchart.61.Mary,,That doesn't tell me anything!
SAY.cinna flowchart.62.,,"My mouth tries to form the words, but my lips just flap uselessly."
SAY.cinna flowchart.64.Mary,,"Come on, you should really be used to it by now."
SAY.cinna flowchart.66.Mary,,I'll keep teasing you until you get it through your head.
SAY.cinna flowchart.70.Mary,,You're never going to get to speak back to me again.
SAY.cinna flowchart.71.,,She pushes my lips aside and reaches one finger into my mouth. It brushes against the useless stump where my tongue used to be.
SAY.cinna flowchart.73.Mary,,"Good, the cut's healing nicely."
SAY.cinna flowchart.74.,,"I whine pitifully, but Mary just looks down at me with scorn."
SAY.cinna flowchart.76.Mary,,"Come on, you shouldn't be so upset. It's not like you ever used that tongue for anything meaningful."
SAY.cinna flowchart.78.Mary,,This is what comes to those who speak only to pass judgement.
SAY.cinna flowchart.80.Mary,,"Although, I have trained as a surgeon. So..."
SAY.cinna flowchart.81.,,She leans forwards and whispers into my ear.
SAY.cinna flowchart.83.Mary,,"Once I'm sure you've learned your lesson, I might just let you have it back. Won't that be nice?"
SAY.cinna flowchart.84.,,"I recoil from her, retreating back into the darkness, but she just follows me with her candle, its light burning my weakened eyes."
SAY.cinna flowchart.86.Mary,,"Oh, are you hungry? Is that why you're so upset?"
SAY.cinna flowchart.88.,,"I try to back away further, but the chain wrapped around my legs catches against the wall."
SAY.cinna flowchart.90.,,"Mary sighs, and moves closer. One of her arms wraps around me, and the other brushes through my hair, trimmed down to almost nothing."
SAY.cinna flowchart.92.Mary,,"I know, I know. It's sad, that I have to chain you up like this."
SAY.cinna flowchart.94.Mary,,"But we both know the reason why, don't we? Every time I give you space to roam, you try to run away from me. When will you learn your lesson?"
SAY.cinna flowchart.95.,,"I whine, and try to push her away. Mary looks down at me with a deep pity."
SAY.cinna flowchart.97.Mary,,"Look, I don't hate you. I want you to be happy."
SAY.cinna flowchart.99.Mary,,"If you keep playing along, and doing everything I say, for just a few more days, I'll let you up into the garden next time."
SAY.cinna flowchart.101.Mary,,"You'd like that, wouldn't you?"
SAY.cinna flowchart.103.Hazel,,...
SAY.cinna flowchart.105.Mary,,Good girl.
SAY.cinna flowchart.107.,,"Her arms coil around my body like a python, squeezing me like a vise. I am breathless until she relents, and I gasp for air."
SAY.cinna flowchart.108.,,"I try to pull away from her grip, but she just holds on tighter, and I go limp."
SAY.cinna flowchart.109.,,"I stare up into her eyes, so full of desperate affection, as she leans in closer."
SAY.cinna flowchart.112.Mary,,{i}I love you.{/i}
SAY.cinna flowchart.143.,,Notes from cinna:{wc}Thank you so much for playing our little labor of love!
SAY.cinna flowchart.144.,,"One dislocated leg (please send well wishes to Nii), one concussion (please send well wishes to me lmao), one insane fever (get well soon Astra), and a team of tired souls later, this game finally exists :){wc}Please be kind, write a nice comment if you'd like (we live for them!), play through the game again and again if you want, unlock all the endings and maybe an easter egg...?"
SAY.cinna flowchart.146.,,Stay tuned for more toxic yuri horror games (and check out our others if you haven't yet). The world will never have enough :P
SAY.cinna flowchart.153.,,The secret ending is now unlocked! See if you can find it...
CHARACTER.Mary,,Mary
CHARACTER.Hazel,,Hazel
