Key,Description,Standard
SAY.Flowchart.7.,,"{i}My hair crawls along my scalp, bursting through my skin.{/i}"
SAY.Flowchart.6.,,{i}He used to say he liked it long. That it made me look prettier.{/i}
SAY.Flowchart.8.,,{i}Then he would tear and pull at it whenever he was upset.{/i}
SAY.Flowchart.9.,,"{i}Some nights, I worried that he would tear and tear until I went bald, and then he would have no more use for me.{/i}"
SAY.Flowchart.10.,,{i}Blood trickles down the back of my neck.{/i}
SAY.Flowchart.11.,,{i}I can feel my nails twisting and lengthening into claws.{/i}
SAY.Flowchart.12.,,"{i}I curl my hand into a fist, and feel them press against my palm. It is a familiar feeling.{/i}"
SAY.Flowchart.13.,,"{i}His nails would dig into my skin, cutting bright red lines, until my whole back was peeled raw and slick with sweat and blood.{/i}"
SAY.Flowchart.14.,,"{i}Scraps of fabric tear free from my clothes and wrap around my body, binding around my neck, my arms, until I cannot even move. Chains wrap around my legs, heavy iron chains.{/i}"
SAY.Flowchart.15.,,"{i}I try to take a step backwards, and almost fall. I cannot even move.{/i}"
SAY.Flowchart.16.,,"{i}My skin peels away from my face, bubbles up and dissolves in the tranquil air.{/i}"
SAY.Flowchart.26.,,"{i}My body is nothing but raw, red, muscle, glistening with blood.{/i}"
SAY.Flowchart.25.,,"{i}I see it shift and deform in the mirror, pulsing with every beat of my heart.{/i}"
SAY.Flowchart.17.,,{i}I touch my cheek with one finger and almost cry out in agony.{/i}
SAY.Flowchart.19.,,"{i}The scar. It curls along my neck like a snake, its scales rippling in the faint light.{/i}\n"
SAY.Flowchart.20.,,{i}That was when he—{/i}\n
