Key,Description,Standard
SAY.cinna flowchart.193.,,I wake up with a jolt.
SAY.cinna flowchart.194.,,Was any of that real? Was it all a dream?\n
SAY.cinna flowchart.195.,,"No, I remember now.\n"
SAY.cinna flowchart.321.,,"The Duke, he came to our house, looking to hurt us...\n"
SAY.cinna flowchart.323.,,Too fucking bad he was nothing more than a little bitch.\n
SAY.cinna flowchart.322.,,"When I pulled out my darling Smith & Wesson M&P 9mm Luger, he just shit himself and died!\n"
SAY.cinna flowchart.330.,,...
SAY.cinna flowchart.324.,,Yay!\n
SAY.cinna flowchart.244.Mary,,"Hello baby, ready to go out?\n"
SAY.cinna flowchart.327.Mary,,"We're going to get ice cream, and go on the roller coaster.\n"
SAY.cinna flowchart.326.Hazel,,Hell yeah!\n
CHARACTER.Mary,,Mary
CHARACTER.Adrianne,,Adrianne
CHARACTER.Hazel,,Hazel
